date,kind,term,islands,new_7d,ranked,unique_players,plays
2026-09-25,tag,,1,0,0,0,0
2026-09-25,tag,1v1,62609,7,205,2781982,5058653
2026-09-25,tag,2d,647,0,1,1126,1384
2026-09-25,tag,2v2,5763,1,40,1421576,2782800
2026-09-25,tag,3v3,2537,3,18,318778,548886
2026-09-25,tag,4v4,3654,1,14,103976,169685
2026-09-25,tag,5v5,1793,1,4,64496,149032
2026-09-25,tag,6v6,1156,0,0,0,0
2026-09-25,tag,7v7,211,0,0,0,0
2026-09-25,tag,8v8,3084,0,3,64,81
2026-09-25,tag,action,31969,1,87,62339,87621
2026-09-25,tag,ad,188,0,2,280,473
2026-09-25,tag,adventure,8692,1,139,481263,599662
2026-09-25,tag,aim course,2818,0,33,289574,449476
2026-09-25,tag,arcade,3064,0,14,6091,7406
2026-09-25,tag,arena,11467,0,33,129994,203709
2026-09-25,tag,artistic,2956,0,33,1884,2427
2026-09-25,tag,atmospheric,3654,0,15,2795,2997
2026-09-25,tag,attack,5941,2,8,4070,4823
2026-09-25,tag,base,2143,0,28,158911,305368
2026-09-25,tag,base building,1701,0,9,20801,25112
2026-09-25,tag,battle,23734,0,68,125024,204213
2026-09-25,tag,battle royale,9913,0,18,46196,133133
2026-09-25,tag,board game,647,0,23,7102,8596
2026-09-25,tag,boss battle,2765,3,200,141931,194317
2026-09-25,tag,boxfight,25263,0,56,2373069,4421973
2026-09-25,tag,building,35290,2,108,923590,1931810
2026-09-25,tag,capture the flag,1814,0,1,271,358
2026-09-25,tag,card game,121,0,2,163,275
2026-09-25,tag,casual,17591,3,397,1743182,4850064
2026-09-25,tag,choices matter,510,0,5,34302,78461
2026-09-25,tag,classes,1075,0,6,48080,67305
2026-09-25,tag,clicker,240,0,6,313,436
2026-09-25,tag,co-op,6340,0,216,179916,250991
2026-09-25,tag,collection,1165,1,25,6244,8820
2026-09-25,tag,competitive,43992,5,126,1282742,2439652
2026-09-25,tag,crafting,258,0,4,1332,1909
2026-09-25,tag,creatures,4298,1,176,134569,176201
2026-09-25,tag,deathrun,16586,2,296,572154,741669
2026-09-25,tag,defend,1111,0,0,0,0
2026-09-25,tag,difficulty: easy,7611,0,57,26281,33399
